Albanie 	Tirana
Allemagne 	Berlin
Andorre 	Andorre-la-Vieille
Autriche 	Vienne
Belgique 	Bruxelles
Bielorussie 	Minsk
Bosnie-Herzegovine 	Sarajevo
Bulgarie 	Sofia
Chypre 	Nicosie
Croatie 	Zagreb
Danemark 	Copenhague
Espagne 	Madrid
Estonie 	Tallinn
Finlande 	Helsinki
France 	Paris
Grece 	Athenes
Hongrie 	Budapest
Irlande 	Dublin
Islande 	Reykjavik
Italie 	Rome
Kosovo 	Pristina
Lettonie 	Riga
Liechtenstein 	Vaduz
Lituanie 	Vilnius
Luxembourg 	Luxembourg
Macedoine du Nord 	Skopje
Malte 	La Valette
Moldavie 	Chisinau
Monaco 	Monaco
Montenegro 	Podgorica
Norvege 	Oslo
Pays-Bas 	Amsterdam
Pologne 	Varsovie
Portugal 	Lisbonne
Republique tcheque 	Prague
Roumanie 	Bucarest
Royaume-Uni 	Londres
Russie 	Moscou
Serbie 	Belgrade
Slovaquie 	Bratislava
Slovenie 	Ljubljana
Suisse 	Berne
Suede 	Stockholm
Ukraine 	Kiev
Vatican 	Vatican
